RICS,Term,Prices/Upfronts,Name,Currency,Rank,Doc Clause,Cal final,recovery rate,TRBC Economic Sector Name,Region
ABUU20YUSAC=R,20Y,106.33,ABU DHABI,USD,SNRFOR,Cum-Restruct14,AA,(0-29),Government,Middle East & North Africa
DUBA20YUSAC=R,20Y,173.87,DUBAI,USD,SNRFOR,Cum-Restruct14,NR,(0-29),Government,Middle East & North Africa
LAZI20YEUAB=R,20Y,172.22,LAZIO,EUR,SNRFOR,Cum-Restruct14,BB,(40-49),Government,Europe & Central Asia
ABIB20YEUAM=R,20Y,99.02,AB INBEV,EUR,SNRFOR,M-Mod Restruct14,BBB,(40-49),Consumer Non-Cyclicals,Europe & Central Asia
AEGN20YEUAM=R,20Y,126.99,AEGON,EUR,SNRFOR,M-Mod Restruct14,A,(40-49),Financials,Europe & Central Asia
AEGN20YEUSM=R,20Y,230.25,AEGON,EUR,SUBLT2,M-Mod Restruct14,A,(0-29),Financials,Europe & Central Asia
AGSX20YEUAM=R,20Y,196.47,AGUAS BARCELONA,EUR,SNRFOR,M-Mod Restruct14,NR,(40-49),Utilities,Europe & Central Asia
AIRF20YEUAM=R,20Y,326.73,AIR FRANCE KLM,EUR,SNRFOR,M-Mod Restruct14,NR,(40-49),Industrials,Europe & Central Asia
ALVG20YEUAM=R,20Y,66.42,ALLIANZ,EUR,SNRFOR,M-Mod Restruct14,AA,(40-49),Financials,Europe & Central Asia
ALVG20YEUSM=R,20Y,160.11,ALLIANZ,EUR,SUBLT2,M-Mod Restruct14,AA,(0-29),Financials,Europe & Central Asia
BOOT20YEUAM=R,20Y,232.65,ALNCE BOOTS,EUR,SNRFOR,M-Mod Restruct14,NR,(40-49),Consumer Non-Cyclicals,Europe & Central Asia
ALSO20YEUAM=R,20Y,81.2,ALSTOM,EUR,SNRFOR,M-Mod Restruct14,BBB,(40-49),Industrials,Europe & Central Asia
ATIJ20YEUAM=R,20Y,568.58,ALTICE FINCO,EUR,SNRFOR,M-Mod Restruct14,NR,(40-49),Telecommunications Services,Europe & Central Asia
